nid,source,id,vis,data_binding,link,,
1,datavizproject,Skærmbillede-2016-02-02-kl.-16.06.19.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6578765/Infographics-Raconteur-The-Times,,梦迪
2,datavizproject,Skærmbillede-2016-02-02-kl.-16.11.19.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6578765/Infographics-Raconteur-The-Times,,思极
3,datavizproject,Skærmbillede-2016-02-02-kl.-16.20.27.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6578765/Infographics-Raconteur-The-Times,,刘佩
4,datavizproject,Skærmbillede-2016-02-02-kl.-16.34.00.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6715611/TripAdvisor-Infographics-Illustration,,杰英
5,datavizproject,Skærmbillede-2016-02-02-kl.-16.35.03.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6512471/Infographic-iconography-The-Design-Council,,
6,datavizproject,Skærmbillede-2016-02-02-kl.-16.36.08.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/6512471/Infographic-iconography-The-Design-Council,,
7,datavizproject,Skærmbillede-2016-02-03-kl.-13.24.54.png,number,semantics (combined with color) to category,https://datavizproject.com/wp-content/uploads/2016/02/Sk%C3%A6rmbillede-2016-02-03-kl.-13.24.54.png,,
8,datavizproject,Skærmbillede-2016-02-04-kl.-10.39.19.png,number,semantics (combined with color) to category,https://datavizproject.com/wp-content/uploads/2016/02/Sk%C3%A6rmbillede-2016-02-04-kl.-10.39.19.png,,
9,datavizproject,Skærmbillede-2016-02-04-kl.-11.35.51.png,number,semantics (combined with color) to category,https://www.behance.net/gallery/8857935/Transraysa-corporative-booklet,,
10,datavizproject,5083416128_fece575c4c_o-scaled.jpg,bar chart,height to quantity,https://www.flickr.com/photos/ffranchi/5083416128/in/album-72157618527782372/,,
11,datavizproject,Screen-Shot-2016-05-19-at-16.34.04.png,bar chart,height to quantity,https://www.flickr.com/photos/ffranchi/3542939590/in/album-72157618527782372/,,
12,datavizproject,Screen-Shot-2016-05-19-at-16.42.29.png,bar chart,height to quantity,https://www.flickr.com/photos/ffranchi/5585529664/in/album-72157618527782372/,,
13,datavizproject,Skærmbillede-2016-02-10-kl.-11.15.15.png,bar chart,height to quantity,https://www.youtube.com/watch?v=fbUgYZkvL-A,,
14,datavizproject,Skærmbillede-2017-09-04-kl.-15.07.39.png,bar chart,height to quantity,https://www.pinterest.dk/pin/270708627577338523/,,
15,datavizproject,Skærmbillede-2017-10-06-kl.-12.40.01.png,bar chart,height to quantity,https://www.digitalartsonline.co.uk/news/graphic-design/best-infographics-2017/,,
16,datavizproject,fc85c722282311.56045d0ab6940.jpg,block chart,height filled with color to proportion,https://www.behance.net/gallery/2412324/Infographics-Raconteur-Dashboards-2011,,
17,datavizproject,page-1.jpg,block chart,height filled with color to proportion,https://www.informationisbeautifulawards.com/showcase/333-tns-uk-and-decc-consumer-attitudes-towards-energy,,
18,datavizproject,Skærmbillede-2017-02-23-kl.-14.33.47.png,block chart,height filled with color to proportion,http://hotcore.info/kareff-08079.html,,
19,datavizproject,Skærmbillede-2017-02-23-kl.-16.25.37.png,block chart,height filled with color to proportion,https://vis.zone/images/reference/o53h.jpg,,
20,datavizproject,Skærmbillede-2017-02-23-kl.-16.36.42.png,block chart,height filled with color to proportion,https://datavizproject.com/wp-content/uploads/2015/10/Sk%C3%A6rmbillede-2017-02-23-kl.-16.36.42.png,,
21,datavizproject,Skærmbillede-2017-02-23-kl.-16.38.30.png,block chart,height filled with color to proportion,https://www.dearcontent.com/minimal-yet-powerful-improving-the-text-on-your-infographics/,,
22,datavizproject,Skærmbillede-2017-09-04-kl.-15.53.21.png,bar chart,height filled with color to proportion,https://i.pinimg.com/originals/d0/8d/74/d08d7419dc463356ad136348265e20b8.jpg,,
23,datavizproject,Skærmbillede-2017-09-04-kl.-16.14.24.png,bar chart,height filled with color to proportion,https://graphism.fr/visualisation-de-donnes-photographies-danoises/,,
24,datavizproject,5_aotw_1-300x300.jpg,block chart,height filled with color to proportion,https://www.pinterest.com/pin/559713059944847205/?mt=login,,
25,datavizproject,9635744385_7e992fec0f_b.jpg,block chart,height filled with color to proportion,https://www.flickr.com/photos/rajkamalaich/9635744385/in/set-72157600514123219,,
26,datavizproject,open-uri20140702-32143-he9e6d.jpeg,block chart,height filled with color to proportion,https://visual.ly/community/Infographics/other/inmate-abuse,,
27,datavizproject,Screen-Shot-2015-06-16-at-10.21.30-AM.png,block chart,height filled with color to proportion,https://www.stephenwildish.co.uk/#preserves,,
28,datavizproject,Screen-Shot-2015-11-02-at-17.14.32.png,block chart,height filled with color to proportion,https://lokeshdhakar.com/media/posts/coffee-diagram-follow-up/9_cups_of_coffee_diagram.pdf,,
29,datavizproject,Skærmbillede-2016-01-21-kl.-16.09.24.png,block chart,height filled with color to proportion,http://gapersblock.com/drivethru/2013/02/10/eat_your_heart_out_valentines_day_dining_picks/,,
30,datavizproject,Skærmbillede-2016-01-23-kl.-17.42.34.png,block chart,height filled with color to proportion,https://www.theguardian.com/environment/interactive/2009/mar/09/food-carbon-emissions,,
31,datavizproject,Skærmbillede-2016-01-24-kl.-21.46.03.png,block chart,height filled with color to proportion,https://datavizproject.com/wp-content/uploads/2015/11/Sk%C3%A6rmbillede-2016-01-24-kl.-21.46.03.png,,
32,datavizproject,Skærmbillede-2017-09-04-kl.-15.15.20.png,block chart,height filled with color to proportion,https://datavizproject.com/wp-content/uploads/2015/11/Sk%C3%A6rmbillede-2017-09-04-kl.-15.15.20.png,,
33,datavizproject,Yes-Penis-Size-Does-Matter.jpg,block chart,height filled with color to proportion,https://afrogeekchick.wordpress.com/2018/12/06/is-bigger-better-not-always-but-maybe/,,
34,datavizproject,Skærmbillede-2016-01-22-kl.-15.44.09-300x300.png,block chart,unit filled with color to proportion,https://www.behance.net/gallery/6745371/Infographic-Resume,,
35,datavizproject,Skærmbillede-2016-01-24-kl.-21.49.21-300x300.png,block chart,unit filled with color to proportion,https://vizualize.tumblr.com/post/120177748652/via-the-human-toll-of-fifas-corruption-the,,
36,datavizproject,Skærmbillede-2016-02-02-kl.-16.08.09-300x300.png,area,area to quantity,https://www.behance.net/gallery/6578765/Infographics-Raconteur-The-Times,,
37,datavizproject,Skærmbillede-2016-02-02-kl.-16.32.06.png,area,area to quantity,https://www.pinterest.com/pin/553450241676892607/?mt=login,,
38,datavizproject,Skærmbillede-2016-02-02-kl.-16.33.10.png,area,area to quantity,https://www.behance.net/gallery/6715611/TripAdvisor-Infographics-Illustration,,
39,datavizproject,Skærmbillede-2016-02-10-kl.-11.17.34.png,area,area to quantity,https://vis.zone/images/reference/dmvcm.jpg,,
40,datavizproject,Skærmbillede-2017-09-04-kl.-15.14.02.png,area,area to quantity,https://vis.zone/images/reference/eg6hu.jpg,,
41,Anthropographics,an-incalculable-loss.png,block chart,unit to quantity,https://www.nytimes.com/interactive/2020/05/24/us/us-coronavirus-deaths-100000.html,,
42,Anthropographics,australia-as-100.png,block chart,unit to quantity,https://www.abc.net.au/news/2017-06-27/census-australia-as-100-people/8634318,,
43,Anthropographics,billionaire-index.png,number,semantics (combined with color) to category,https://hillakatki.info/Bloomberg-Billionaires,,
44,Anthropographics,celebrity-height.png,bar chart,height to quantity,https://celeb-heights.com/celebrity.php?name=Angelina+Jolie,,
45,Anthropographics,covid19-italy-reuters.png,tree and graph,unit to quantity,https://graphics.reuters.com/HEALTH-CORONAVIRUS-LOMBARDY/0100B5LT46P/index.html,,
46,Anthropographics,covid19-korea-reuters.png,block chart,unit to quantity,https://graphics.reuters.com/CHINA-HEALTH-SOUTHKOREA-CLUSTERS/0100B5G33SB/index.html,,
47,Anthropographics,criancas-adotadas.png,bar chart,height to quantity,https://arte.estadao.com.br/brasil/adocao/criancas/,,
48,Anthropographics,deaths-at-the-borders.png,block chart,unit filled with color to proportion,http://www.borderdeaths.org/,,
49,Anthropographics,displaced-people-worldwide.png,block chart,unit filled with color to proportion,https://data.humdata.org/organization/unhcr,,
50,Anthropographics,eye-for-an-eye.png,block chart,unit filled with color to proportion,https://www.washingtonpost.com/wp-srv/special/outlook/death-penalty/??noredirect=on,,
51,Anthropographics,fallen-world-war.png,bar chart,unit filled with color to proportion,http://www.fallen.io/ww2/,,
52,Anthropographics,feel-about-ebola.png,block chart,unit to quantity,https://www.washingtonpost.com/news/the-fix/wp/2014/10/16/want-to-feel-better-about-ebola-this-massive-chart-should-do-the-trick/,,
